Weight,measurements_m2
0.118922545,0.32775057
0.124329911,0.319856204
0.093130972,0.330264194
0.149777975,0.335137532
0.098272379,0.305909615
0.112547703,0.309038758
0.132717134,0.304511388
0.106494592,0.330668047
0.10930463,0.316760866
0.111538799,0.311703432
0.133445724,0.299182826
0.159557033,0.32358041
0.125797004,0.317917283
0.108405031,0.319862298
0.133259788,0.31284592
0.116231518,0.29661002
0.124886956,0.33698786
0.142798931,0.318273755
0.113955849,0.322017632
0.125309292,0.307146761
0.112002295,0.338178445
0.1228274,0.305884246
0.12902247,0.311224944
0.110342227,0.305000886
0.120091584,0.30169845
0.121631153,0.329729282
0.115609088,0.311296182
0.107359729,0.302768419
0.103855655,0.315776209
0.122871485,0.313854805
0.121138059,0.318731587
0.158644415,0.30956913
0.088652399,0.321766128
0.126864811,0.293503686
0.130730581,0.304604053
0.145568421,0.328859078
0.132701771,0.330771998
0.112510707,0.291650605
0.125174059,0.323824757
0.133309202,0.317680496
0.12047129,0.335415076
0.136739089,0.302576231
0.097152553,0.324007975
0.151141683,0.330928069
0.147189083,0.297921679
0.120138753,0.308473585
0.134344025,0.332348534
0.125893472,0.314972329
0.112736884,0.331708111
0.126489566,0.320875676
0.140179401,0.297867682
0.119457525,0.320008467
0.119538872,0.324255856
0.124056852,0.310154888
0.131676358,0.333796993
0.144349601,0.298830726
0.115653723,0.31769185
0.132799857,0.313707462
0.128415653,0.30636734
0.097294727,0.296789594
0.118884166,0.288228534
0.12318898,0.300215953
0.124580359,0.315856853
0.130063965,0.309902406
0.094569067,0.316250111
0.125867746,0.315113765
0.115008779,0.311605472
0.103582328,0.321808838
0.133038359,0.331119701
0.136203107,0.2962307
0.115375159,0.322338136
0.137810757,0.294035094
0.119451166,0.351286024
0.126171248,0.304753137
0.108692829,0.312778179
0.148941219,0.331521088
0.085282171,0.324814945
0.123802124,0.332526781
0.135600707,0.339757258
0.094671915,0.314175159
0.122331874,0.348087113
0.124015633,0.309099394
0.137544458,0.314438821
0.143897107,0.331825016
0.119115529,0.283843059
0.104406133,0.309349565
0.145682444,0.315559246
0.143442197,0.33111039
0.118243833,0.308313146
0.13043724,0.331575545
0.130901907,0.303351298
0.133668045,0.333502034
0.128237033,0.330350175
0.146274357,0.311425445
0.09910452,0.31477212
0.140786272,0.316166128
0.130880993,0.313295037
0.121916884,0.310457762
0.142776885,0.339275611
0.090019865,0.325277498
0.142596735,0.325748367
0.130965084,0.29600542
0.108176914,0.31858134
0.131670301,0.335340309
0.120612616,0.320908342
0.163953336,0.311238615
0.152703904,0.317609841
0.131784261,0.331057918
0.114385105,0.31651618
0.116422694,0.287492379
0.120298169,0.307648614
0.116770395,0.321231499
0.111640222,0.2957975
0.116309329,0.319067804
0.121031221,0.326029129
0.117420655,0.35224349
0.114695064,0.340838784
0.111240534,0.324851765
0.163430487,0.292614803
0.103076314,0.32343422
0.109852692,0.297424148
0.131659849,0.303391139
0.120320212,0.33568221
0.131531284,0.307408564
0.137161613,0.329142733
0.144113118,0.322036258
0.136453386,0.333015995
0.110267498,0.316380434
0.141811062,0.316899498
0.098700147,0.342140289
0.123457594,0.329688978
0.1177013,0.32475679
0.109261927,0.319566923
0.134048911,0.327867239
0.122425064,0.317844214
0.140471734,0.328640278
0.102936931,0.318168888
0.137868591,0.294090881
0.132643015,0.294699318
0.127071476,0.309630928
0.103891755,0.349610483
0.121397301,0.340422464
0.101973794,0.313853854
0.093934134,0.307732654
0.174370094,0.312305808
0.139736833,0.316476668
0.152062806,0.337955696
0.118738713,0.31122377
0.135616883,0.297467625
0.135635157,0.312143145
0.13419665,0.301633841
0.125228805,0.342362843
0.1217502,0.317535526
0.094129729,0.32122653
0.134326074,0.319055048
0.131526367,0.290632778
0.141942214,0.323405641
0.121060282,0.327124031
0.151301096,0.313647132
0.1184614,0.325130355
0.106342505,0.314591766
0.139246368,0.31822756
0.118148719,0.331768495
0.106353108,0.313757521
0.127046268,0.327427417
0.136521445,0.321109332
0.128795507,0.319901062
0.132635298,0.312290708
0.186804302,0.309164928
0.137490726,0.319947555
0.148150318,0.337790933
0.095386226,0.325661483
0.130649716,0.338038764
0.136785144,0.320339398
0.119706727,0.29639792
0.112034221,0.337747456
0.131121715,0.319236955
0.120454651,0.336604273
0.116267579,0.331388505
0.142416422,0.332775411
0.145207406,0.326884722
0.129713353,0.275733801
0.118360495,0.332602677
0.132889474,0.324396242
0.137615789,0.33146186
0.134633243,0.33357398
0.103373448,0.325017793
0.120103646,0.329984401
0.130560913,0.298355008
0.134507219,0.321668136
0.139585642,0.330820293
0.136549468,0.329940142
0.108159136,0.306914342
0.1145626,0.292554757
0.106852476,0.311043956
0.152241063,0.320737794
0.12788006,0.32416313
0.133471377,0.344571909
0.140669349,0.338633591
0.120238876,0.308946939
